smiles,docking_score
C[C@H]1O[C@]23C[C@H]1[C@@H](O)[C@@H](O)[C@@H]2C[C@@H](O)[C@H](O)[C@]3(C)O,-1.158
C/N=C(\O)CN(C)C(=O)C1CCCN1,-5.629
CC[C@@H](C)C[C@H](CC)C(=O)O,-5.214
O=CN[C@H](C=O)CCCCCC(=O)[C@H]1CO1,-5.726
Nc1nc2[nH]ncc2c2nc(-c3ccco3)nn12,-8.605
C=C(CCO)[C@H](O)C1[C@H](O)C[C@@](C)(O)[C@@H]1O,-6.542
O=C1N[C@@H]2Cc3ccccc3-c3cc(O)cc(c32)C1=O,-9.023
CC(=O)N[C@@H]1COC[C@@H](O[C@H]2C[C@@H](O)CCO2)C1,-5.964
CCC/C(NCC(=O)O)=C1/C(=O)CC(C)(C)[C@H](C=O)C1=O,-4.246
CCC[C@H](C)CO[C@H]1O[C@H](C)CC[C@H]1O,-6.016
CC(C)(CO[C@@H]1OC(CO)C[C@H](O)C1O)NC(N)=S,-6.086
OC[C@H]1O[C@H](O)[C@@H](O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)C[C@@H]1O,-6.89
O=c1oc2ccccc2cc1-c1ccccc1,-9.018
Nc1[nH]nnc1-c1ccccn1,-6.695
CC(=O)CC(=O)SCCNC(C)=O,-5.498
OC[C@@H]1CCCCN1,-5.277
O=C(C=C1NCCc2ccccc21)C1CCC1,-8.704
C=C(C)C(=O)O[C@H](CCC=O)[C@H]1C(=C)C(=O)O[C@H]1C,-3.922
CC1(C)N[C@H](CN)C(=O)N1CC=O,-4.352
CC(=O)O[C@@H]1C=C(C)C[C@H](C)[C@H]1O,-6.948
CC[C@@]1([C@H]2C[C@@H](C)C[C@H]2O)OC(=O)C[C@@H]1O,-3.98
CC(C)OC(=O)c1nc(O)c(C(=S)NCC(N)=O)[nH]1,-7.451
C[C@@H]1OC[C@@H](O)C[C@H]1O[C@H]1C[C@@H](O)C[C@H](C)O1,-5.053
C[C@H]1O[C@H](n2ccc(O)nc2=O)[C@@H](O)[C@H]1O,-6.731
COc1cc(O)c(OC)c(-c2c[nH]c3ccccc23)c1,-5.18
COc1cccc2c1OC[C@H](c1ccc(O)c(O)c1)O2,-6.698
CNCCS[C@@H](S)CC=O,-4.443
O=c1cccc2n1CC1CC2CN(Cc2ccccc2)C1,-5.694
CCC(C)C(N=C(O)COC=O)C(O)=NCC=O,-4.952
C[C@H]1C(=O)OC[C@H]1Cc1ccc(O)c(C(CO)CO)c1,-6.307
O=C(C=Cc1ccccc1)c1ccc2[nH]c3ccccc3c2c1,-8.674
NC1CC(O)CC(O)C1,-5.149
CC(C)C[C@@]1(C(=O)O)CC[C@H](c2nccs2)N1C=O,-4.47
CO[C@@H](C)C[C@@H](O)C/C=C\C=C\CC/C=C/C=C\C=O,-5.813
C/C=C\C=C(C)/C=C\C=C(C)/C=C\C1=C(C)CCCC1(C)C,-3.482
C[C@@]12CCC[C@H]1[C@@H]1CC[C@@H]3CC(=O)CC[C@]3(C)[C@H]1[C@@H](O)C2,-2.168
N[C@@H](CCC(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-6.278
C/C=C\C/C=C/[C@H]1[C@H]([C@H]2CCCC(=O)O2)C[C@@H]2O[C@H]12,-5.667
C[C@@H]1C[C@H](O)[C@@H](O)C(O[C@H]2[C@H](O)OCC[C@@H]2O)O1,-5.592
CC(=O)N[C@@H]1CC[C@H](O)N(C)C1=O,-6.321
